country,year,gdp_per_capita,investment_rate,population_growth,school_enrollment,gdp_pc_t10,growth_10y_avg,n_g_delta,ln_y0,ln_s,ln_ngd,ln_h
CAN,2010,41164.3399119626,23.4820046985497,1.11135202971694,102.510261535645,42366.1285377884,0.002877684229678579,0.0611135202971694,10.62532762442754,-1.4489358156885446,-2.7950221558243173,4.629962906110415
CEB,2000,7450.86082262,25.5518988588474,-0.563773690484113,92.1335372924805,10998.6534832885,0.03894432823185756,0.044362263095158866,8.916084851359006,-1.3644585527712572,-3.1153661012287097,4.523239016961889
CEB,2010,10998.6534832885,22.9917805306206,-0.362321893446287,100.192092895508,14621.1363727276,0.028469532387832962,0.04637678106553713,9.305528133677582,-1.4700334021640735,-3.070956353066151,4.607089272318469
CHE,2000,73749.9389517966,27.2341910868659,0.561954617400164,94.5499114990234,81315.4228307049,0.009765553382984038,0.05561954617400164,11.208435446429474,-1.3006969768285026,-2.8892205896126693,4.549127859081008
CHE,2010,81315.4228307049,25.8955591965806,1.0415580576588,96.6068572998047,84637.0132935333,0.004003597903550293,0.060415580576587996,11.306090980259315,-1.351098691574958,-2.806508250740416,4.570649725239468
CHL,2000,8465.35303258864,23.7507555521354,1.19601925947085,86.9013595581055,11649.2897090856,0.03192634892882644,0.0619601925947085,9.043736998669685,-1.4375558432919646,-2.781263155066633,4.464773677236483
CHL,2010,11649.2897090856,24.775467656778,1.00455362363927,90.99951171875,12679.024004022,0.008470376577918515,0.0600455362363927,9.36300048795795,-1.3953162297936632,-2.8126520673340876,4.510854140774432
CHN,1990,917.270661782581,34.0914985430681,1.46730321087928,39.0024795532227,2237.44298500334,0.08916863794880507,0.0646730321087928,6.821402588773546,-1.0761221423688674,-2.7384109787592394,3.6636252223963943
CHN,2000,2237.44298500334,33.6326827140045,0.787956592953992,59.4924812316895,5764.86534987407,0.09464481076855469,0.05787956592953992,7.713088968261597,-1.0896718919632937,-2.8493908767366105,4.085849938712789
CHN,2010,5764.86534987407,46.1023443345586,0.482959688678361,90.7829173331445,10573.6420059282,0.06065825042062922,0.05482959688678361,8.659537075947144,-0.7743063840342496,-2.9035251416489496,4.508471132810093
CMR,1990,1360.47765296011,17.8119783746051,2.94699987458872,25.8838996887207,1151.27689302947,-0.01669641853316941,0.0794699987458872,7.215591132480248,-1.7252990126207097,-2.532375702811008,3.2536211417710637
CMR,2000,1151.27689302947,17.1923305666251,2.63276307164066,28.4606399536133,1290.9013745759,0.011446904618335817,0.0763276307164066,7.048626947148554,-1.7607067988996803,-2.572720273658663,3.348522078481045
COD,2010,400.619567973092,24.0289275977627,3.18751592835336,37.0387916564941,470.852950000929,0.016153356850187085,0.0818751592835336,5.993012268701494,-1.4259117648775583,-2.5025596395808747,3.6119657865810018
COG,1990,2363.76701814587,15.9055118110236,2.85491548331506,47.1228408813477,2057.01922023551,-0.013899858615718408,0.0785491548331506,7.768011819585404,-1.8385044820514338,-2.5440306739418217,3.8527578278771233
COL,2000,4016.80951748167,14.8956270290748,1.63798274950516,76.4044799804688,5214.24547620131,0.02609064594560486,0.0663798274950516,8.298243214136546,-1.904102504094261,-2.712362071442531,4.336041332941117
COL,2010,5214.24547620131,21.8887622688674,1.13596836363633,99.9543685913086,5891.95523215403,0.01221935058880863,0.0613596836363633,8.559149673592595,-1.5191968192740861,-2.791002277797521,4.604713767758222
CPV,2010,3194.61667734233,44.9568060390526,0.717181999615317,83.5471330073283,3255.93628984058,0.0019012776107450336,0.05717181999615317,8.069222383821266,-0.7994680229827793,-2.8616941594018286,4.425410939758784
CRI,2000,7726.51985682031,20.6866903035723,1.93953648052985,59.6520385742188,10285.0856660419,0.028603630364015052,0.0693953648052985,8.9524138276336,-1.5756796730211364,-2.6679352032489123,4.088528323554568
CRI,2010,10285.0856660419,19.8339185211217,1.24057536472066,97.5067367553711,12242.2098908533,0.017419495513432536,0.0624057536472066,9.238450131273751,-1.6177766572732486,-2.774097801972735,4.57992147054374
CUB,1990,4961.45738860948,24.8024922353702,0.931316010174928,92.1929931640625,4112.26168350671,-0.01877263608133415,0.05931316010174928,8.509454804908563,-1.3942260445045729,-2.8249240734558074,4.523884131623319
CUB,2000,4112.26168350671,12.5033534650291,0.332523063476085,81.8830108642578,6716.49048497058,0.049059260374199984,0.05332523063476085,8.321728444095221,-2.0791733004574016,-2.9313456895565166,4.405291531786029
CUB,2010,6716.49048497058,10.0733739584629,0.023813604568028,92.4079409432897,7252.28811179844,0.0076751251847152705,0.05023813604568028,8.812321047837221,-2.2952744848816624,-2.9909808585120397,4.526212915899621
CYP,2000,22383.96484375,20.4291577976899,1.74925863858297,93.3721389770508,26090.048828125,0.015320912334874315,0.0674925863858297,10.016100126306727,-1.5882070018120098,-2.6957375184565957,4.536593002844883
CYP,2010,26090.048828125,23.6867268786643,1.64898311615441,91.440803527832,26895.68359375,0.003041184186029966,0.0664898311615441,10.16930924965547,-1.4402553420458235,-2.710706257876997,4.515691806935172
CZE,2000,12543.9364342367,31.8350210442972,-0.280414108078884,89.3995208740234,16665.9317825137,0.028412922656725216,0.04719585891921116,9.436992675153617,-1.1446032114765319,-3.053449125002022,4.4931153228141385
CZE,2010,16665.9317825137,26.7312876523202,0.29136167418042,98.6544189453125,19233.1469549829,0.014326857167808882,0.0529136167418042,9.721121901720869,-1.3193354844453278,-2.939094567913839,4.591623025639875
DEU,2000,35104.1308467844,23.9639660790924,0.135431600393084,99.1294326782227,38526.7371042695,0.00930336590119225,0.05135431600393084,10.46607409047185,-1.4286188972618061,-2.9690062954301712,4.596426397020488
DEU,2010,38526.7371042695,19.5310600093299,-0.153198446937304,104.891357421875,42372.8726784255,0.00951558916597577,0.04846801553062696,10.559107749483772,-1.6331641666210384,-3.0268511721823814,4.652925123274796
DNK,2000,49266.9882757886,22.2944061771116,0.334233618829261,126.853088378906,51209.4492757775,0.003866982343456904,0.05334233618829261,10.805009526732166,-1.5008343830643687,-2.9310249631316463,4.843029632449001
DNK,2010,51209.4492757775,17.8221551141916,0.444197154509531,118.944053649902,55934.5555945523,0.008825828604925512,0.05444197154509531,10.843679350166735,-1.7247278333121754,-2.910619886845521,4.778653245166512
DOM,2000,4123.10573163115,27.8926622004107,1.62045560357101,59.4400787353516,5666.45633430206,0.03179572394829737,0.0662045560357101,8.324361976722292,-1.2768065353217843,-2.7150059961156265,4.084968725027597
DOM,2010,5666.45633430206,26.0714218346178,1.28013209833069,77.9718275378447,7395.8734262396,0.026635826234238102,0.0628013209833069,8.642319216205266,-1.344330420419113,-2.7677791709631783,4.3563475760341825
DZA,1990,3605.68701212608,28.5894206651089,2.47896733157691,60.6158790588379,3553.32420521991,-0.0014628763419867851,0.0747896733157691,8.190267603580839,-1.2521334434090605,-2.5930754608083024,4.10455688942512
DZA,2000,3553.32420521991,23.5639069007647,1.3996685583388,64.5954208374023,4456.6102741643,0.022650488767098763,0.063996685583388,8.175638840160971,-1.4454540132461184,-2.74892398472306,4.1681435234061714
DZA,2010,4456.6102741643,43.2868274827225,1.9470588317966,100.739776611328,4363.68533767783,-0.002107148758544497,0.069470588317966,8.402143727831959,-0.8373218124420907,-2.6668518056509636,4.612540722837658
EAP,1990,1072.20234491906,33.7889869615917,1.61459135755938,40.9200210571289,2132.39099441931,0.06875290833185677,0.0661459135755938,6.977470078407516,-1.085035266131803,-2.7158921654526327,3.711619455675886
EAP,2000,2132.39099441931,30.3229183990923,0.998845430185964,58.803581237793,4797.24821906567,0.08107985830830229,0.05998845430185964,7.664999161726084,-1.1932663765777534,-2.813603163579077,4.0742027584545655
EAP,2010,4797.24821906567,42.2390427366086,0.741733055460152,82.9164581298828,8293.69666986026,0.05474533230907088,0.05741733055460152,8.475797744809107,-0.8618252093324752,-2.857409095188756,4.417833572350941
EAR,1990,1833.02641598646,22.9656695928751,2.45496858012563,45.7701988220215,2158.8733767333,0.016361812068382962,0.0745496858012563,7.5137236590759935,-1.4711697115321898,-2.596289452384479,3.8236331985936625
EAR,2000,2158.8733767333,21.9748699050641,1.87962415421671,51.0884819030762,2766.88281699468,0.024813484892961403,0.0687962415421671,7.677341779759823,-1.5152706625679766,-2.6766061642826147,3.9335590687316526
EAR,2010,2766.88281699468,28.632987358968,1.54675845386388,63.9171485900879,3290.1946903817,0.017322538972693823,0.0654675845386388,7.925476628689437,-1.2506107286621104,-2.726200151380527,4.157587691421829
EAS,1990,3713.30449655525,34.5145010936368,1.50426267739424,47.235710144043,5056.47338479158,0.030874710072110467,0.0650426267739424,8.21967745904385,-1.0637906287064471,-2.732712427504882,3.855150177384426
EAS,2000,5056.47338479158,29.0399720470408,0.942759365568456,62.1436996459961,7855.36234558956,0.044052711915295716,0.05942759365568456,8.528424559764956,-1.236496958599425,-2.8229966208206916,4.129449439463245
EAS,2010,7855.36234558956,32.8206897619544,0.700770611250663,84.7297592163086,11276.053700591,0.03614849356842296,0.05700770611250663,8.968951678917913,-1.1141110840340593,-2.8645688253293446,4.439466888430206
ECA,2000,3231.4170375726,22.8768750408235,0.415829788565206,85.3211822509766,5123.22527224197,0.04608634243581129,0.05415829788565206,8.080676031333812,-1.4750436091880326,-2.915844078389475,4.446422750175883
ECA,2010,5123.22527224197,26.7252330084556,0.809647377625494,90.7503280639648,7016.36291211506,0.03144608033785268,0.05809647377625494,8.541539455691925,-1.3195620103701597,-2.845650309285317,4.508112088168341
ECS,2000,18477.5285403385,22.6075586437602,0.125518588445939,95.2436599731445,21465.351630475,0.014988476284056062,0.05125518588445939,9.824310599257416,-1.4868858823631508,-2.9709384780933275,4.556438449829727
ECS,2010,21465.351630475,21.131540328142,0.365344248524332,99.2390975952148,23034.1354718301,0.0070537183498929675,0.05365344248524332,9.974195362097976,-1.5544034593292908,-2.925209646348981,4.597532065626421
ECU,2000,3953.39879728357,17.1669504072431,1.73622001498213,55.9612693786621,5022.20374387205,0.023929316623534723,0.0673622001498213,8.282330942924474,-1.762184138545838,-2.6976712470247457,4.024659833218746
ECU,2010,5022.20374387205,23.4900158733515,1.67708805313164,91.5583877563477,5355.68934196443,0.006429059409536109,0.0667708805313164,8.521624109159822,-1.4485947115681794,-2.7064882136702386,4.516976886326752
EGY,1990,1972.13789303215,28.9144058455115,2.92960944817985,68.7174301147461,2458.60835003016,0.0220477299290903,0.0792960944817985,7.586873458190602,-1.2408302429026554,-2.53456640146842,4.2300028805091285
EGY,2000,2458.60835003016,19.5530726256983,2.16091978529782,77.8339462280273,3233.84521246786,0.027407641894604852,0.0716091978529782,7.807350757481505,-1.6320377443513427,-2.6365317516322526,4.354577662859868
EGY,2010,3233.84521246786,19.5010774075916,1.91795124102801,64.7296371459961,3770.86947867421,0.015363370837134127,0.0691795124102801,8.081427176427553,-1.6347004702733436,-2.671050523629203,4.1702191668873905
EMU,2000,30853.1385054093,23.4059942707807,0.309783222549474,103.357780456543,33252.3689886555,0.007488753279309357,0.05309783222549474,10.336993758532017,-1.4521780310112156,-2.935619175946212,4.638196565892569
EMU,2010,33252.3689886555,20.7640561916706,0.254268113475692,108.635520935059,34608.4614772745,0.003997219118920902,0.05254268113475692,10.41188129132511,-1.5719467618203267,-2.9461294656735513,4.687998434454015
ERI,2000,845.132430060544,21.9967567603027,1.53601457156771,45.2635498046875,703.877374381654,-0.018288918017345245,0.0653601457156771,6.739493337042711,-1.5142751634834106,-2.7278425990008506,3.8125020685192825
ESP,2000,24106.8818529374,26.6723700485971,0.447137014535835,113.414573669434,25766.2515825743,0.006656820365409111,0.05447137014535835,10.090252632779737,-1.321541986028315,-2.9100800337748,4.731049898639704
ESP,2010,25766.2515825743,22.3988413816153,0.460408305051304,122.622512817383,25077.019882928,-0.0027113673191811573,0.054604083050513036,10.156820836433829,-1.4961609524998627,-2.9076466178823206,4.80911063484503
