country,year,gdp_per_capita,investment_rate,population_growth,school_enrollment
EGY,1990,1972.13789303215,28.9144058455115,2.92960944817985,68.7174301147461
EGY,2000,2458.60835003016,19.5530726256983,2.16091978529782,77.8339462280273
EGY,2010,3233.84521246786,19.5010774075916,1.91795124102801,64.7296371459961
EGY,2020,3770.86947867421,18.8180606572831,1.62495386951696,79.6544750074231
EMU,1990,25547.4550182017,24.7983811164859,0.460721739454511,
EMU,2000,30853.1385054093,23.4059942707807,0.309783222549474,103.357780456543
EMU,2010,33252.3689886555,20.7640561916706,0.254268113475692,108.635520935059
EMU,2020,34608.4614772745,22.0368117969718,0.141183349191362,108.483871459961
ERI,1990,,,2.27486416634711,
ERI,2000,845.132430060544,21.9967567603027,1.53601457156771,45.2635498046875
ERI,2010,703.877374381654,12.3854014927083,1.96475727107645,51.5608596801758
ERI,2020,,,1.56406078076077,
ESP,1990,19174.77083233,26.8366821808878,0.101828842607043,
ESP,2000,24106.8818529374,26.6723700485971,0.447137014535835,113.414573669434
ESP,2010,25766.2515825743,22.3988413816153,0.460408305051304,122.622512817383
ESP,2020,25077.019882928,20.6266482703898,0.510010189620998,117.367767333984
EST,1990,9341.22561480009,,0.0664901906843683,
EST,2000,10006.7696280939,28.4761032107323,0.483707161729931,95.0215377807617
EST,2010,14657.939813612,21.5876781655604,-0.22805796852935,110.888679504395
EST,2020,19946.945696898,29.6538687688692,0.197559185177642,112.527702331543
ETH,1990,267.078134508598,0.0,3.70151417338649,
ETH,2000,247.505413659694,0.0,3.06823302462214,14.451319694519
ETH,2010,421.898622378633,0.0,2.83517457968806,33.0478591918945
ETH,2020,768.705424485209,30.5789686594943,2.71077284780816,
EUU,1990,21731.2530227102,25.0325469517662,0.338877065279092,
EUU,2000,26365.798677465,23.4452666779727,0.119607067359065,101.507369995117
EUU,2010,29352.9442515094,20.9287617842046,0.158405309698739,106.968536376953
EUU,2020,31435.0353450837,22.1398230180037,-0.0088375075819338,108.119239807129
FCS,1990,1487.85171733751,,2.67986592189238,30.5092105865479
FCS,2000,1295.212123623,,2.282655960761,32.3150405883789
FCS,2010,1676.97481416998,,2.47627067215411,42.8060913085938
FCS,2020,1435.4620668369,,2.22230381017643,46.512809753418
FIN,1990,31291.5222587198,30.1371971329317,0.443382073914297,
FIN,2000,37872.6020343504,23.8741513058525,0.2076065154133,125.493049621582
FIN,2010,43556.5385834368,22.6073229974435,0.457494535465831,108.609390258789
FIN,2020,44690.9801103074,24.9836073895773,0.143641197212847,143.122909545898
FJI,1990,3414.95053196369,,0.908661993627988,
FJI,2000,3960.8890315,,1.08577609197596,75.6572799682617
FJI,2010,4272.359150902,,0.34990116341096,
FJI,2020,4721.1228189763,,0.0069950630185431,91.541633605957
FRA,1990,27992.9751471374,24.4166717434176,0.547228307056949,
FRA,2000,33255.1379642335,21.8578770673408,0.686335719566776,105.590217590332
FRA,2010,35578.1968010183,21.3378695020042,0.492976371032656,106.424942016602
FRA,2020,35709.2045925926,22.8044182138435,0.324557781035362,104.566566467285
FRO,1990,,,-0.455600696125289,
FRO,2000,,30.8175663142274,1.33775372322055,
FRO,2010,42333.5215714088,19.5208247548459,-0.275018644732287,
FRO,2020,54301.6594145787,28.2582797236121,1.48148018439056,
FSM,1990,2384.9445815498,,1.88608379478079,
FSM,2000,2724.42245620978,,0.325401227572671,
FSM,2010,2884.91733583068,,-0.387012831252087,
FSM,2020,2951.77114318964,,0.573243642479669,
GAB,1990,8354.26309000876,21.6771566086635,2.74079536205552,
GAB,2000,7596.09970650519,21.9020564270273,2.58540209287646,
GAB,2010,6481.49612073562,29.7011138055349,3.44994267851283,
GAB,2020,6534.27966528997,19.8634691076218,2.38922359813697,
GBR,1990,30071.2085616955,23.5558879470108,0.298930554095876,
GBR,2000,39297.1366317267,18.9469377484139,0.357300887421605,101.204376220703
GBR,2010,42762.720840223,16.6181160375508,0.783888646646516,103.46118927002
GBR,2020,42982.4631007642,18.2807146353402,0.169447088341033,114.566833496094
GEO,1990,3534.03227732782,30.7363356942403,-0.0270683894920024,
GEO,2000,1561.19867638847,26.581315880922,-1.9446291567975,83.4423599243164
GEO,2010,3090.06513662318,20.929149397264,-0.729475256932528,
GEO,2020,4659.60925318234,24.6056865974412,0.0686562494680967,108.06699476725
GHA,1990,855.85250708181,14.4439972906995,2.55156185640349,33.9981918334961
GHA,2000,1022.27520714566,23.9986004971918,2.51243583964957,32.5775909423828
GHA,2010,1381.2279503506,13.1001937072805,2.43301424000427,
GHA,2020,1970.19411460398,18.2236669857819,1.99181985149439,74.0102186341371
GIB,1990,,,-1.2567752734271,
GIB,2000,,,0.0613707353064771,106.05623626709
GIB,2010,,,1.3694209589518,
GIB,2020,,,1.89493160765265,100.500228881836
GIN,1990,548.371534819426,13.7904295464944,3.45583486210679,9.75790977478027
