country,year,gdp_per_capita,investment_rate,population_growth
COG,1990,2363.767018,15.90551181,2.854915483
COG,2000,2057.01922,22.6259542,3.831866102
COG,2010,2332.285081,47.19017067,4.142430505
COG,2020,1725.5104,23.73156703,2.394776912
COL,1990,3714.184993,20.60673055,2.067428821
COL,2000,4016.809517,14.89562703,1.63798275
COL,2010,5214.245476,21.88876227,1.135968364
COL,2020,5891.955232,19.12814694,1.436321673
COM,1990,1253.761963,18.04228002,2.619042964
COM,2000,1150.828401,18.04229519,1.919894445
COM,2010,1272.606507,18.1749509,1.987907684
COM,2020,1359.706247,11.80176252,1.961993798
CPV,1990,835.1207232,,2.051923973
CPV,2000,2037.317209,,1.51097074
CPV,2010,3194.616677,44.95680604,0.717182
CPV,2020,3255.93629,28.96192366,0.111782574
CRI,1990,6037.051117,27.3228218,2.526404199
CRI,2000,7726.519857,20.6866903,1.939536481
CRI,2010,10285.08567,19.83391852,1.240575365
CRI,2020,12242.20989,16.16305467,0.692995399
CSS,1990,8229.175922,,0.563562782
CSS,2000,10510.86943,,0.786660536
CSS,2010,13743.40739,,0.635465035
CSS,2020,12531.50184,,0.363226824
CUB,1990,4961.457389,24.80249224,0.93131601
CUB,2000,4112.261684,12.50335347,0.332523063
CUB,2010,6716.490485,10.07337396,0.023813605
CUB,2020,7252.288112,9.874990685,-0.236755669
CUW,1990,,,-1.051535839
CUW,2000,21523.64585,,-4.075386132
CUW,2010,20706.43741,,1.265514155
CUW,2020,14849.96969,,-1.252081562
CYM,1990,,,4.423499451
CYM,2000,,,3.566400697
CYM,2010,79483.0964,,2.775743487
CYM,2020,75199.64462,,1.995493055
CYP,1990,17144.46875,27.04542752,1.396267729
CYP,2000,22383.96484,20.4291578,1.749258639
CYP,2010,26090.04883,23.68672688,1.648983116
CYP,2020,26895.68359,20.64475612,1.203297126
CZE,1990,11900.58446,24.3277286,-0.267830773
CZE,2000,12543.93643,31.83502104,-0.280414108
CZE,2010,16665.93178,26.73128765,0.291361674
CZE,2020,19233.14695,24.73020518,0.243222682
DEU,1990,29763.31247,25.2643366,0.861969449
DEU,2000,35104.13085,23.96396608,0.1354316
DEU,2010,38526.7371,19.53106001,-0.153198447
DEU,2020,42372.87268,21.72903046,0.081693159
DJI,1990,,,10.19712243
DJI,2000,,,3.139834532
DJI,2010,,,2.033322702
DJI,2020,2773.406618,-0.248727785,1.502286563
DMA,1990,5536.879017,,-0.752614799
DMA,2000,6879.597373,,-0.522635324
DMA,2010,8574.273087,,-0.007260951
DMA,2020,7302.94455,,-0.453294539
DNK,1990,39306.79392,20.79264714,0.16245632
DNK,2000,49266.98828,22.29440618,0.334233619
DNK,2010,51209.44928,17.82215511,0.444197155
DNK,2020,55934.55559,22.76265326,0.291641177
DOM,1990,2772.770656,23.34965915,2.103746787
DOM,2000,4123.105732,27.8926622,1.620455604
DOM,2010,5666.456334,26.07142183,1.280132098
DOM,2020,7395.873426,24.87951592,1.043340765
DZA,1990,3605.687012,28.58942067,2.478967332
DZA,2000,3553.324205,23.5639069,1.399668558
DZA,2010,4456.610274,43.28682748,1.947058832
DZA,2020,4363.685338,42.94935768,1.711912165
EAP,1990,1072.202345,33.78898696,1.614591358
EAP,2000,2132.390994,30.3229184,0.99884543
EAP,2010,4797.248219,42.23904274,0.741733055
EAP,2020,8293.69667,40.23782125,0.452341336
EAR,1990,1833.026416,22.96566959,2.45496858
EAR,2000,2158.873377,21.97486991,1.879624154
EAR,2010,2766.882817,28.63298736,1.546758454
EAR,2020,3290.19469,25.76696799,1.215716141
EAS,1990,3713.304497,34.51450109,1.504262677
EAS,2000,5056.473385,29.03997205,0.942759366
EAS,2010,7855.362346,32.82068976,0.700770611
EAS,2020,11276.0537,34.9860394,0.408472469
ECA,1990,3553.123864,25.3385481,1.198074259
ECA,2000,3231.417038,22.87687504,0.415829789
ECA,2010,5123.225272,26.72523301,0.809647378
ECA,2020,7016.362912,29.01373063,0.711353855
ECS,1990,15930.54883,25.4210771,0.522930719
ECS,2000,18477.52854,22.60755864,0.125518588
ECS,2010,21465.35163,21.13154033,0.365344249
ECS,2020,23034.13547,22.60145017,0.187722981
ECU,1990,3919.717581,20.15203808,2.238231257
ECU,2000,3953.398797,17.16695041,1.736220015
ECU,2010,5022.203744,23.49001587,1.677088053
ECU,2020,5355.689342,17.58491297,1.181252582
EGY,1990,1972.137893,28.91440585,2.929609448
EGY,2000,2458.60835,19.55307263,2.160919785
EGY,2010,3233.845212,19.50107741,1.917951241
EGY,2020,3770.869479,18.81806066,1.62495387
EMU,1990,25547.45502,24.79838112,0.460721739
EMU,2000,30853.13851,23.40599427,0.309783223
EMU,2010,33252.36899,20.76405619,0.254268113
EMU,2020,34608.46148,22.0368118,0.141183349
ERI,1990,,,2.274864166
ERI,2000,845.1324301,21.99675676,1.536014572
ERI,2010,703.8773744,12.38540149,1.964757271
ERI,2020,,,1.564060781
ESP,1990,19174.77083,26.83668218,0.101828843
ESP,2000,24106.88185,26.67237005,0.447137015
ESP,2010,25766.25158,22.39884138,0.460408305
ESP,2020,25077.01988,20.62664827,0.51001019
EST,1990,9341.225615,,0.066490191
EST,2000,10006.76963,28.47610321,0.483707162
EST,2010,14657.93981,21.58767817,-0.228057969
EST,2020,19946.9457,29.65386877,0.197559185
ETH,1990,267.0781345,0.0,3.701514173
ETH,2000,247.5054137,0.0,3.068233025
ETH,2010,421.8986224,0.0,2.83517458
ETH,2020,768.7054245,30.57896866,2.710772848
EUU,1990,21731.25302,25.03254695,0.338877065
EUU,2000,26365.79868,23.44526668,0.119607067
EUU,2010,29352.94425,20.92876178,0.15840531
EUU,2020,31435.03535,22.13982302,-0.008837508
FCS,1990,1487.851717,,2.679865922
FCS,2000,1295.212124,,2.282655961
FCS,2010,1676.974814,,2.476270672
FCS,2020,1435.462067,,2.22230381
FIN,1990,31291.52226,30.13719713,0.443382074
FIN,2000,37872.60203,23.87415131,0.207606515
FIN,2010,43556.53858,22.607323,0.457494535
FIN,2020,44690.98011,24.98360739,0.143641197
FJI,1990,3414.950532,,0.908661994
FJI,2000,3960.889032,,1.085776092
FJI,2010,4272.359151,,0.349901163
FJI,2020,4721.122819,,0.006995063
FRA,1990,27992.97515,24.41667174,0.547228307
